Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,3.380000,3.510000,3.280000,3.460000,3.460000,724200
2022-11-30,3.600000,4.060000,3.590000,3.830000,3.830000,2643800
2022-12-01,3.820000,3.930000,3.700000,3.860000,3.860000,636200
2022-12-02,3.830000,4.280000,3.780000,4.260000,4.260000,1138400
2022-12-05,4.580000,4.800000,4.280000,4.400000,4.400000,2630400
2022-12-06,4.470000,5.250000,4.350000,5.050000,5.050000,3146500
2022-12-07,4.680000,4.730000,4.300000,4.610000,4.610000,1653200
2022-12-08,4.940000,5.520000,4.880000,5.520000,5.520000,2457600
2022-12-09,5.600000,5.990000,5.270000,5.810000,5.810000,2575000
2022-12-12,5.730000,5.730000,5.110000,5.410000,5.410000,1782200
2022-12-13,5.690000,5.970000,5.450000,5.640000,5.640000,1077800
2022-12-14,5.520000,5.730000,5.360000,5.440000,5.440000,1155600
2022-12-15,5.400000,5.710000,5.220000,5.260000,5.260000,730400
2022-12-16,5.330000,5.530000,4.930000,4.930000,4.930000,1658200
2022-12-19,4.950000,5.080000,4.760000,4.940000,4.940000,929800
2022-12-20,4.860000,5.000000,4.690000,4.780000,4.780000,663200
2022-12-21,4.880000,5.550000,4.790000,5.520000,5.520000,1075200
2022-12-22,5.550000,5.590000,5.100000,5.280000,5.280000,861600
2022-12-23,5.360000,5.370000,4.970000,5.000000,5.000000,502200
2022-12-27,5.130000,5.130000,4.800000,4.910000,4.910000,498800
2022-12-28,4.890000,4.930000,4.620000,4.670000,4.670000,495700
2022-12-29,4.780000,5.450000,4.750000,5.210000,5.210000,1106000
2022-12-30,4.900000,5.290000,4.900000,5.230000,5.230000,525200
2023-01-03,5.450000,5.790000,5.330000,5.530000,5.530000,989600
2023-01-04,5.740000,6.060000,5.580000,5.920000,5.920000,1310700
2023-01-05,5.770000,6.190000,5.630000,6.070000,6.070000,1240200
2023-01-06,5.700000,5.820000,5.010000,5.250000,5.250000,2822000
2023-01-09,5.300000,5.360000,4.930000,5.040000,5.040000,1197200
2023-01-10,5.180000,5.230000,5.030000,5.140000,5.140000,1318800
2023-01-11,5.150000,5.340000,5.050000,5.230000,5.230000,685000
2023-01-12,5.170000,5.330000,5.060000,5.130000,5.130000,1185200
2023-01-13,5.150000,5.530000,5.140000,5.430000,5.430000,1160900
2023-01-17,5.300000,5.430000,4.960000,5.010000,5.010000,990700
2023-01-18,5.050000,5.080000,4.550000,4.610000,4.610000,1616800
2023-01-19,4.640000,4.810000,4.540000,4.690000,4.690000,774200
2023-01-20,4.840000,5.260000,4.700000,5.130000,5.130000,2008700
2023-01-23,5.200000,5.730000,5.110000,5.670000,5.670000,1272700
2023-01-24,5.450000,5.670000,5.420000,5.480000,5.480000,438800
2023-01-25,5.430000,5.580000,5.270000,5.560000,5.560000,409800
2023-01-26,5.800000,5.940000,5.530000,5.770000,5.770000,879700
2023-01-27,5.750000,5.990000,5.710000,5.750000,5.750000,796900
